"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"доставка еды киров","2019-07-01 - 2019-09-09","559.00","38.00","6.80","11.43","13.13","0.00","2.00","0.00","0.00","36.00","1.00","2.78","2.42","3.00","169.00","7.00","4.14","8.33","8.00","352.00","30.00","8.52","13.90","14.67"
"шумовка","2019-07-01 - 2019-09-09","502.00","33.00","6.57","12.03","2.21","0.00","13.00","11.00","84.62","77.00","20.00","25.97","2.83","2.70","128.00","2.00","1.56","7.78","4.00","284.00","0.00","0.00","16.94",""
"шумовка киров","2019-07-01 - 2019-09-09","351.00","148.00","42.17","1.67","1.23","0.00","155.00","116.00","74.84","194.00","32.00","16.49","2.18","2.06","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пельмени даниловка киров","2019-07-01 - 2019-09-09","112.00","0.00","0.00","9.80","","0.00","0.00","0.00","","0.00","0.00","","","","69.00","0.00","0.00","7.41","","43.00","0.00","0.00","13.65",""
"заказ еды киров","2019-07-01 - 2019-09-09","87.00","9.00","10.34","11.61","13.33","0.00","0.00","0.00","","3.00","1.00","33.33","2.67","3.00","26.00","2.00","7.69","7.77","9.50","58.00","6.00","10.34","13.79","16.33"
"заказать еду киров","2019-07-01 - 2019-09-09","80.00","7.00","8.75","9.41","7.71","0.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","49.00","4.00","8.16","7.80","6.00","30.00","2.00","6.67","12.27","13.50"
"шумовка киров калинина 40","2019-07-01 - 2019-09-09","71.00","34.00","47.89","1.76","1.53","0.00","20.00","16.00","80.00","51.00","18.00","35.29","2.06","2.00","0.00","0.00","","","","0.00","0.00","","",""
"вятский чебурек","2019-07-01 - 2019-09-09","65.00","1.00","1.54","11.08","11.00","0.00","0.00","0.00","","0.00","0.00","","","","20.00","0.00","0.00","9.30","","45.00","1.00","2.22","11.87","11.00"
"чизкейк киров","2019-07-01 - 2019-09-09","63.00","1.00","1.59","8.71","10.00","0.00","0.00","0.00","","0.00","0.00","","","","53.00","1.00","1.89","8.26","10.00","10.00","0.00","0.00","11.10",""
"чебуреки киров","2019-07-01 - 2019-09-09","57.00","6.00","10.53","4.58","4.00","0.00","1.00","0.00","0.00","4.00","2.00","50.00","3.00","3.00","52.00","4.00","7.69","4.77","4.50","0.00","0.00","","",""
"заказать пиццу киров","2019-07-01 - 2019-09-09","55.00","2.00","3.64","9.98","8.50","0.00","0.00","0.00","","0.00","0.00","","","","27.00","2.00","7.41","8.44","8.50","28.00","0.00","0.00","11.46",""
"заказать пиццу кирова","2019-07-01 - 2019-09-09","55.00","0.00","0.00","12.47","","0.00","0.00","0.00","","0.00","0.00","","","","17.00","0.00","0.00","8.12","","38.00","0.00","0.00","14.42",""
"кафе супчик киров","2019-07-01 - 2019-09-09","53.00","0.00","0.00","6.87","","0.00","0.00","0.00","","3.00","0.00","0.00","3.00","","40.00","0.00","0.00","5.85","","10.00","0.00","0.00","12.10",""
"доставка еды в кирове","2019-07-01 - 2019-09-09","49.00","5.00","10.20","13.18","18.60","0.00","0.00","0.00","","0.00","0.00","","","","6.00","0.00","0.00","8.33","","43.00","5.00","11.63","13.86","18.60"
"чизкейки киров","2019-07-01 - 2019-09-09","47.00","1.00","2.13","8.57","7.00","0.00","0.00","0.00","","0.00","0.00","","","","41.00","1.00","2.44","8.15","7.00","6.00","0.00","0.00","11.50",""
"доставка еды","2019-07-01 - 2019-09-09","46.00","3.00","6.52","8.43","11.33","0.00","3.00","1.00","33.33","7.00","0.00","0.00","2.57","","23.00","0.00","0.00","7.65","","13.00","2.00","15.38","14.69","16.50"
"заказ обедов киров","2019-07-01 - 2019-09-09","42.00","3.00","7.14","13.90","6.00","0.00","1.00","0.00","0.00","0.00","0.00","","","","20.00","3.00","15.00","6.60","6.00","21.00","0.00","0.00","21.48",""
"доставка еды на дом","2019-07-01 - 2019-09-09","40.00","0.00","0.00","14.25","","0.00","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","9.00","0.00","0.00","8.33","","29.00","0.00","0.00","16.93",""
"чебуречная киров","2019-07-01 - 2019-09-09","38.00","0.00","0.00","9.18","","0.00","0.00","0.00","","0.00","0.00","","","","37.00","0.00","0.00","9.14","","1.00","0.00","0.00","11.00",""
"доставка пиццы в кирове","2019-07-01 - 2019-09-09","36.00","0.00","0.00","10.72","","0.00","0.00","0.00","","0.00","0.00","","","","20.00","0.00","0.00","8.65","","16.00","0.00","0.00","13.31",""
"пицца киров заказать","2019-07-01 - 2019-09-09","36.00","0.00","0.00","8.47","","0.00","0.00","0.00","","0.00","0.00","","","","29.00","0.00","0.00","7.76","","7.00","0.00","0.00","11.43",""
"заказать еду на дом киров","2019-07-01 - 2019-09-09","35.00","3.00","8.57","10.06","12.00","0.00","0.00","0.00","","0.00","0.00","","","","17.00","0.00","0.00","8.18","","18.00","3.00","16.67","11.83","12.00"
"заказ еды на дом киров","2019-07-01 - 2019-09-09","34.00","0.00","0.00","11.53","","0.00","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","7.91","","23.00","0.00","0.00","13.26",""
"доставка обедов киров","2019-07-01 - 2019-09-09","32.00","6.00","18.75","17.81","17.00","0.00","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","29.00","6.00","20.69","18.76","17.00"
"доставка обедов в кирове","2019-07-01 - 2019-09-09","31.00","0.00","0.00","19.58","","0.00","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","29.00","0.00","0.00","20.31",""
"заказать пиццу в кирове","2019-07-01 - 2019-09-09","31.00","0.00","0.00","10.81","","0.00","0.00","0.00","","0.00","0.00","","","","13.00","0.00","0.00","8.92","","18.00","0.00","0.00","12.17",""
"заказ обедов с доставкой киров","2019-07-01 - 2019-09-09","30.00","0.00","0.00","14.90","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.60","","25.00","0.00","0.00","16.16",""
"заказ обедов в кирове","2019-07-01 - 2019-09-09","29.00","0.00","0.00","17.10","","0.00","0.00","0.00","","0.00","0.00","","","","10.00","0.00","0.00","7.80","","19.00","0.00","0.00","22.00",""
"заказ обедов","2019-07-01 - 2019-09-09","29.00","0.00","0.00","16.24","","0.00","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","6.82","","18.00","0.00","0.00","22.00",""
"вятский чебурек киров доставка","2019-07-01 - 2019-09-09","28.00","0.00","0.00","8.11","","0.00","0.00","0.00","","0.00","0.00","","","","28.00","0.00","0.00","8.11","","0.00","0.00","","",""
"заказ обедов с доставкой в кирове","2019-07-01 - 2019-09-09","28.00","0.00","0.00","20.14","","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.40","","23.00","0.00","0.00","22.70",""
"еда на дом киров","2019-07-01 - 2019-09-09","28.00","3.00","10.71","12.14","11.67","0.00","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.40","","23.00","3.00","13.04","12.96","11.67"
"доставка киров","2019-07-01 - 2019-09-09","27.00","1.00","3.70","11.96","14.00","0.00","0.00","0.00","","0.00","0.00","","","","15.00","0.00","0.00","8.80","","12.00","1.00","8.33","15.92","14.00"
"супчик 43 киров","2019-07-01 - 2019-09-09","26.00","0.00","0.00","6.88","","0.00","0.00","0.00","","0.00","0.00","","","","25.00","0.00","0.00","6.72","","1.00","0.00","0.00","11.00",""
