"Поисковая система","Поисковая система (детально)","Поисковая фраза","Конверсия (Успешное оформление заказа)","Достижения цели (Успешное оформление заказа)","Целевые визиты (Успешное оформление заказа)","Целевые посетители (Успешное оформление заказа)","Отказы (Успешное оформление заказа)","Глубина просмотра (Успешное оформление заказа)","Время на сайте (Успешное оформление заказа)","Достижения любой цели (Успешное оформление заказа)"
"Итого и средние","","","0.1200701139351446","276","274","216","0.0","17.076642335766422","00:13:04","2294"
"Google","Google, результаты поиска","Не определено","0.13585209003215434","170","169","140","0.0","17.674556213017752","00:13:48","1430"
"Яндекс","Мобильный Яндекс","шумовка киров","0.27956989247311825","27","26","12","0.0","17.192307692307693","00:10:54","212"
"Яндекс","Яндекс, результаты поиска","шумовка киров","0.14383561643835616","21","21","18","0.0","13.619047619047619","00:12:00","161"
"Яндекс","Яндекс, результаты поиска","Не определено","0.10465116279069768","9","9","8","0.0","14.222222222222221","00:07:32","77"
"Яндекс","Яндекс, результаты поиска","шумовка","0.09090909090909091","4","4","4","0.0","21.5","00:24:36","43"
"Яндекс","Мобильный Яндекс","доставка еды киров","0.16666666666666663","4","4","4","0.0","17.0","00:15:32","21"
"Яндекс","Яндекс, результаты поиска","шумовка киров калинина 40","0.07692307692307693","3","3","2","0.0","10.0","00:12:40","26"
"Яндекс","Яндекс, результаты поиска","доставка еды киров","0.07142857142857142","2","2","2","0.0","9.0","00:07:02","9"
"Яндекс","Яндекс: мобильное приложение","шумовка киров","0.07142857142857142","2","2","2","0.0","17.5","00:06:59","11"
"DuckDuckGo","DuckDuckGo","Не определено","0.6666666666666665","2","2","2","0.0","3.5","00:03:46","4"
"Яндекс","Яндекс, результаты поиска","где заказать еду киров","1.0","1","1","1","0.0","14.0","00:04:29","10"
"Яндекс","Яндекс, результаты поиска","доставка еды в выходные киров","1.0","1","1","1","0.0","34.0","00:11:12","10"
"Яндекс","Яндекс, результаты поиска","доставка еды киров шумовка","1.0","1","1","1","0.0","36.0","00:13:05","11"
"Яндекс","Яндекс, результаты поиска","доставка обедов киров домашняя еда","0.33333333333333326","1","1","1","0.0","20.0","00:43:13","9"
"Яндекс","Яндекс, результаты поиска","заказ еды киров","0.2","1","1","1","0.0","30.0","00:12:47","5"
"Яндекс","Яндекс, результаты поиска","чебуреки киров доставка","0.33333333333333326","1","1","1","0.0","9.0","00:13:00","26"
"Яндекс","Яндекс, результаты поиска","шумовкап","1.0","1","1","1","0.0","25.0","00:08:34","7"
"Яндекс","Мобильный Яндекс","доставка еды","0.25","1","1","1","0.0","18.0","00:21:11","6"
"Яндекс","Мобильный Яндекс","доставка супов город киров","1.0","1","1","1","0.0","13.0","00:05:26","7"
"Яндекс","Мобильный Яндекс","заказ еды киров шумовка","1.0","1","1","1","0.0","17.0","00:06:22","6"
"Яндекс","Мобильный Яндекс","заказать еду в кирове","1.0","1","1","1","0.0","9.0","00:02:59","9"
"Яндекс","Мобильный Яндекс","заказать еду на дом киров","0.5","1","1","1","0.0","16.0","00:07:45","7"
"Яндекс","Мобильный Яндекс","кафе шумовка киров","0.33333333333333326","1","1","1","0.0","29.0","00:24:57","9"
"Яндекс","Мобильный Яндекс","киров заказать еду с доставкой на дом","1.0","1","1","1","0.0","21.0","00:17:51","9"
"Яндекс","Мобильный Яндекс","пельмени киров доставка","1.0","1","1","1","0.0","9.0","00:20:40","6"
"Яндекс","Мобильный Яндекс","суп киров доста","1.0","1","1","1","0.0","22.0","00:11:13","14"
"Яндекс","Мобильный Яндекс","чебуреки доставка киров","1.0","1","1","1","0.0","13.0","00:21:05","10"
"Яндекс","Мобильный Яндекс","чизкейк доставка киров","1.0","1","1","1","0.0","18.0","00:12:30","11"
"Яндекс","Мобильный Яндекс","шумовка","0.0625","1","1","1","0.0","25.0","00:10:49","7"
"Яндекс","Мобильный Яндекс","шумовка 43","0.33333333333333326","1","1","1","0.0","22.0","00:30:12","7"
"Яндекс","Мобильный Яндекс","шумовка кафе","0.5","1","1","1","0.0","5.0","00:02:29","7"
"Яндекс","Мобильный Яндекс","шумовка киров калинина 40 доставка","0.2","1","1","1","0.0","12.0","00:03:28","9"
"Яндекс","Мобильный Яндекс","шумовка+киров+","0.33333333333333326","1","1","1","0.0","11.0","00:04:14","10"
"Яндекс","Мобильный Яндекс","шумовка+уиров+","1.0","1","1","1","0.0","16.0","00:08:08","6"
"Яндекс","Мобильный Яндекс","шумовкакиров","1.0","1","1","1","0.0","20.0","00:10:18","13"
"Яндекс","Яндекс: мобильное приложение","доставка горячих обедов суп 2","1.0","1","1","1","0.0","16.0","00:05:55","7"
"Яндекс","Яндекс: мобильное приложение","доставка еды салатов киров","1.0","1","1","1","0.0","25.0","00:07:47","11"
"Яндекс","Яндекс: мобильное приложение","доставка обедов киров домашняя еда","1.0","1","1","1","0.0","28.0","00:23:36","10"
"Яндекс","Яндекс: мобильное приложение","шумовка 43 киров","1.0","1","1","1","0.0","13.0","00:22:44","13"
"Яндекс","Яндекс.Карты","доставка еды киров","0.33333333333333326","1","1","1","0.0","19.0","00:09:47","9"
"Яндекс","Яндекс.Карты","еда с доставкой до офиса киров","1.0","1","1","1","0.0","12.0","00:07:34","13"
"Mail.ru","Mail.ru, результаты поиска","Не определено","0.25","1","1","1","0.0","10.0","00:04:46","6"
