Группа,Показы,Клики,CTR,Конверсии
еда,3474,250,,33
доставка еды киров,1324.00,106.00,8.01,12
заказ еды киров,186.00,18.00,9.68,2
заказать еду киров,133.00,11.00,8.27,0
доставка еды,129.00,8.00,6.20,1
киров доставка еды,97.00,8.00,8.25,0
доставка еды в кирове,85.00,5.00,5.88,1
заказать еду на дом киров,64.00,5.00,7.81,1
заказ еды на дом киров,57.00,0.00,0.00,0
доставка еды на дом,52.00,1.00,1.92,1
доставка еды на дом киров,45.00,3.00,6.67,0
еда на дом киров,43.00,3.00,6.98,0
доставка еды киров круглосуточно,41.00,1.00,2.44,0
заказ еды киров на дом,38.00,1.00,2.63,1
заказ еды,32.00,2.00,6.25,0
заказать еду киров на дом,32.00,2.00,6.25,0
киров заказ еды,31.00,3.00,9.68,0
еда киров доставка,25.00,3.00,12.00,0
еда киров,23.00,1.00,4.35,0
доставка киров еды,22.00,4.00,18.18,1
еда на заказ киров,20.00,1.00,5.00,0
доставка домашней еды киров,19.00,1.00,5.26,0
заказ еды в кирове,17.00,1.00,5.88,0
заказать еду в кирове,17.00,0.00,0.00,1
цезарь доставка еды,16.00,0.00,0.00,0
киров заказ еды на дом,15.00,0.00,0.00,0
киров еда,15.00,0.00,0.00,0
доставка киров еда,14.00,1.00,7.14,0
еда на дом,13.00,1.00,7.69,1
доставки еды киров,12.00,1.00,8.33,0
заказ еды киров круглосуточно,12.00,0.00,0.00,0
цезарь еда киров,11.00,0.00,0.00,0
еда доставка киров,11.00,0.00,0.00,0
еда с доставкой киров,11.00,0.00,0.00,0
еда на заказ с доставкой киров,11.00,0.00,0.00,0
доставка еды киров от 300 рублей,10.00,1.00,10.00,0
еда на дом киров круглосуточно,9.00,3.00,33.33,0
доставка готовой еды киров,8.00,0.00,0.00,0
заказ еды онлайн 130,8.00,0.00,0.00,0
киров заказать еду,8.00,0.00,0.00,0
шумовка киров еда,8.00,1.00,12.50,0
еда 43,8.00,1.00,12.50,0
заказ еды на дом,7.00,0.00,0.00,0
доставка еды киров супчик,7.00,0.00,0.00,0
