Поисковый запрос,Показы,Клики,CTR,Достижения цели,Конверсия показа в заказ,Конверсия клика в заказ
доставка еды киров,559.00,38.00,6.80,7,1.2522361359570662,18.42105263157895
шумовка,502.00,33.00,6.57,5,0.9960159362549802,15.15151515151515
шумовка киров,351.00,148.00,42.17,50,14.245014245014247,33.78378378378378
пельмени даниловка киров,112.00,0.00,0.00,0,0.0,0
заказ еды киров,87.00,9.00,10.34,1,1.1494252873563218,11.11111111111111
заказать еду киров,80.00,7.00,8.75,0,0.0,0.0
шумовка киров калинина 40,71.00,34.00,47.89,3,4.225352112676057,8.823529411764705
вятский чебурек,65.00,1.00,1.54,0,0.0,0.0
чизкейк киров,63.00,1.00,1.59,0,0.0,0.0
чебуреки киров,57.00,6.00,10.53,0,0.0,0.0
заказать пиццу киров,55.00,2.00,3.64,0,0.0,0.0
заказать пиццу кирова,55.00,0.00,0.00,0,0.0,0
кафе супчик киров,53.00,0.00,0.00,0,0.0,0
доставка еды в кирове,49.00,5.00,10.20,0,0.0,0.0
чизкейки киров,47.00,1.00,2.13,0,0.0,0.0
доставка еды,46.00,3.00,6.52,1,2.1739130434782608,33.333333333333336
заказ обедов киров,42.00,3.00,7.14,0,0.0,0.0
доставка еды на дом,40.00,0.00,0.00,0,0.0,0
чебуречная киров,38.00,0.00,0.00,0,0.0,0
доставка пиццы в кирове,36.00,0.00,0.00,0,0.0,0
пицца киров заказать,36.00,0.00,0.00,0,0.0,0
заказать еду на дом киров,35.00,3.00,8.57,1,2.857142857142857,33.333333333333336
заказ еды на дом киров,34.00,0.00,0.00,0,0.0,0
доставка обедов киров,32.00,6.00,18.75,0,0.0,0.0
доставка обедов в кирове,31.00,0.00,0.00,0,0.0,0
заказать пиццу в кирове,31.00,0.00,0.00,0,0.0,0
заказ обедов с доставкой киров,30.00,0.00,0.00,0,0.0,0
заказ обедов в кирове,29.00,0.00,0.00,0,0.0,0
заказ обедов,29.00,0.00,0.00,0,0.0,0
вятский чебурек киров доставка,28.00,0.00,0.00,0,0.0,0
заказ обедов с доставкой в кирове,28.00,0.00,0.00,0,0.0,0
еда на дом киров,28.00,3.00,10.71,0,0.0,0.0
доставка киров,27.00,1.00,3.70,0,0.0,0.0
супчик 43 киров,26.00,0.00,0.00,0,0.0,0
заказать роллы в кирове,26.00,0.00,0.00,0,0.0,0
доставка еды на дом киров,26.00,2.00,7.69,0,0.0,0.0
кафе шумовка киров,26.00,7.00,26.92,1,3.846153846153846,14.285714285714285
шумовка киров калинина,24.00,1.00,4.17,0,0.0,0.0
супчик киров,24.00,1.00,4.17,0,0.0,0.0
супчик 43,24.00,1.00,4.17,0,0.0,0.0
киров доставка еды,24.00,1.00,4.17,0,0.0,0.0
заказ пиццы киров,24.00,0.00,0.00,0,0.0,0
