"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"доставка еды киров","2019-07-04 - 2019-10-04","1324.00","106.00","8.01","7.94","7.58","37.00","2.00","5.41","161.00","23.00","14.29","2.61","2.61","749.00","51.00","6.81","6.58","5.96","377.00","30.00","7.96","13.61","14.57"
"шумовка","2019-07-04 - 2019-10-04","631.00","37.00","5.86","11.96","2.24","14.00","12.00","85.71","101.00","23.00","22.77","2.84","2.74","161.00","2.00","1.24","7.91","4.00","355.00","0.00","0.00","16.82",""
"шумовка киров","2019-07-04 - 2019-10-04","491.00","190.00","38.70","1.67","1.25","202.00","146.00","72.28","287.00","44.00","15.33","2.12","2.07","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказ еды киров","2019-07-04 - 2019-10-04","186.00","18.00","9.68","9.20","9.17","0.00","0.00","","9.00","3.00","33.33","2.67","3.00","110.00","9.00","8.18","7.14","6.44","67.00","6.00","8.96","13.46","16.33"
"пельмени даниловка киров","2019-07-04 - 2019-10-04","162.00","0.00","0.00","9.74","","0.00","0.00","","0.00","0.00","","","","99.00","0.00","0.00","7.62","","63.00","0.00","0.00","13.08",""
"заказать пиццу кирова","2019-07-04 - 2019-10-04","161.00","0.00","0.00","15.60","","0.00","0.00","","1.00","0.00","0.00","3.00","","17.00","0.00","0.00","8.12","","143.00","0.00","0.00","16.57",""
"заказать пиццу киров","2019-07-04 - 2019-10-04","160.00","4.00","2.50","9.35","8.50","0.00","0.00","","1.00","0.00","0.00","3.00","","110.00","4.00","3.64","8.47","8.50","49.00","0.00","0.00","11.45",""
"заказать еду киров","2019-07-04 - 2019-10-04","133.00","11.00","8.27","8.10","8.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","97.00","7.00","7.22","6.76","6.57","34.00","3.00","8.82","12.21","13.00"
"доставка еды","2019-07-04 - 2019-10-04","129.00","8.00","6.20","7.52","9.00","7.00","1.00","14.29","11.00","1.00","9.09","2.55","2.00","88.00","3.00","3.41","7.11","8.00","23.00","3.00","13.04","13.43","15.00"
"заказать роллы в кирове","2019-07-04 - 2019-10-04","125.00","0.00","0.00","11.18","","0.00","0.00","","0.00","0.00","","","","73.00","0.00","0.00","9.38","","52.00","0.00","0.00","13.69",""
"шумовка киров калинина 40","2019-07-04 - 2019-10-04","101.00","36.00","35.64","1.80","1.53","23.00","17.00","73.91","78.00","19.00","24.36","2.04","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка киров","2019-07-04 - 2019-10-04","101.00","4.00","3.96","7.67","8.75","2.00","0.00","0.00","12.00","0.00","0.00","2.75","","73.00","3.00","4.11","7.22","7.00","14.00","1.00","7.14","15.21","14.00"
"чизкейк киров","2019-07-04 - 2019-10-04","99.00","2.00","2.02","9.70","10.50","0.00","0.00","","0.00","0.00","","","","57.00","1.00","1.75","8.35","10.00","42.00","1.00","2.38","11.52","11.00"
"киров доставка еды","2019-07-04 - 2019-10-04","97.00","8.00","8.25","7.92","5.50","2.00","0.00","0.00","10.00","2.00","20.00","2.40","3.00","58.00","5.00","8.62","6.07","5.40","27.00","1.00","3.70","14.44","11.00"
"заказ пиццы кирова","2019-07-04 - 2019-10-04","94.00","0.00","0.00","19.83","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","93.00","0.00","0.00","19.96",""
